                  -10          -9          -8          -7          -6          -5          -4          -3          -2          -1           0           1           2           3           4           5           6           7           8           9          10  
       -10  5.33905e-05  0.00176805  0.00176805  0.00176805  0.00176805  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0130642   0.0585498   0.0585498   0.0585498   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393  
        -9  0.00176805  0.00176805  0.00176805  0.00176805  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0585498   0.0585498   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324  
        -8  0.00176805  0.00176805  0.00176805  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324  
        -7  0.00176805  0.00176805  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324  
        -6  0.00176805  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324  
        -5  0.00176805   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0585498  
        -4   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498  
        -3   0.0215393   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0585498   0.0585498   0.0585498  
        -2   0.0215393   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0585498   0.0585498   0.0585498  
        -1   0.0215393   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498  
         0   0.0130642   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0130642  
         1   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393  
         2   0.0585498   0.0585498   0.0585498   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393  
         3   0.0585498   0.0585498   0.0585498   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393  
         4   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  
         5   0.0585498   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  
         6   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324    0.159155    0.159155   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  0.00176805  
         7   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  0.00176805  0.00176805  
         8   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498   0.0965324   0.0965324   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  0.00176805  0.00176805  0.00176805  
         9   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498   0.0585498   0.0585498   0.0965324   0.0215393   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  0.00176805  0.00176805  0.00176805  0.00176805  
        10   0.0215393   0.0965324   0.0965324   0.0965324   0.0965324   0.0585498   0.0585498   0.0585498   0.0585498   0.0585498   0.0130642   0.0215393   0.0215393   0.0215393   0.0215393  0.00176805  0.00176805  0.00176805  0.00176805  0.00176805  5.33905e-05  
